Timestamp,Lat,Lon,Angle,Distance
2025-03-30 13:17:14,423651994,-711365735,323.02,23.88
2025-03-30 13:17:14,423651991,-711365740,323.44,23.89
2025-03-30 13:17:15,423651986,-711365747,324.06,23.93
2025-03-30 13:17:16,423651982,-711365754,324.63,23.94
2025-03-30 13:17:17,423651980,-711365759,324.99,23.92
2025-03-30 13:17:18,423651978,-711365768,325.57,23.84
2025-03-30 13:17:19,423651977,-711365772,325.84,23.81
2025-03-30 13:17:20,423651976,-711365776,326.1,23.78
2025-03-30 13:17:21,423651980,-711365779,326.07,23.61
2025-03-30 13:17:22,423651982,-711365783,326.19,23.49
2025-03-30 13:17:23,423651982,-711365789,326.51,23.4
2025-03-30 13:17:24,423651982,-711365808,327.57,23.12
2025-03-30 13:17:25,423651973,-711365841,329.89,22.94
2025-03-30 13:17:26,423651964,-711365891,333.27,22.59
2025-03-30 13:17:27,423651946,-711365959,338.21,22.43
2025-03-30 13:17:28,423651928,-711366041,344.11,22.34
2025-03-30 13:17:29,423651913,-711366134,350.69,22.33
2025-03-30 13:17:30,423651910,-711366230,357.35,22.17
2025-03-30 13:17:31,423651906,-711366351,5.73,22.4
2025-03-30 13:17:32,423651910,-711366511,16.48,23.09
2025-03-30 13:17:33,423651910,-711366696,27.52,24.97
2025-03-30 13:17:34,423651905,-711366889,36.86,27.9
2025-03-30 13:17:35,423651892,-711367085,44.0,31.7
2025-03-30 13:17:36,423651870,-711367281,49.16,36.09
2025-03-30 13:17:37,423651841,-711367476,52.86,40.85
2025-03-30 13:17:38,423651802,-711367663,55.25,45.76
2025-03-30 13:17:39,423651755,-711367844,56.8,50.77
2025-03-30 13:17:40,423651699,-711368019,57.7,55.84
2025-03-30 13:17:41,423651634,-711368196,58.21,61.14
2025-03-30 13:17:42,423651563,-711368376,58.51,66.63
2025-03-30 13:17:43,423651480,-711368553,58.44,72.28
2025-03-30 13:17:44,423651394,-711368726,58.27,77.9
2025-03-30 13:17:45,423651307,-711368893,58.04,83.4
2025-03-30 13:17:46,423651243,-711369051,58.22,88.25
2025-03-30 13:17:47,423651168,-711369200,58.09,93.1
2025-03-30 13:17:48,423651095,-711369349,58.01,97.92
2025-03-30 13:17:49,423651018,-711369500,57.88,102.86
2025-03-30 13:17:50,423650935,-711369648,57.65,107.85
2025-03-30 13:17:51,423650859,-711369798,57.56,112.75
2025-03-30 13:17:52,423650794,-711369942,57.6,117.3
2025-03-30 13:17:53,423650733,-711370085,57.68,121.74
2025-03-30 13:17:54,423650667,-711370232,57.72,126.38
2025-03-30 13:17:55,423650597,-711370386,57.75,131.25
2025-03-30 13:17:56,423650521,-711370544,57.72,136.33
2025-03-30 13:17:57,423650444,-711370711,57.73,141.64
2025-03-30 13:17:58,423650360,-711370885,57.69,147.24
2025-03-30 13:17:59,423650275,-711371069,57.71,153.09
2025-03-30 13:18:00,423650189,-711371257,57.73,159.05
2025-03-30 13:18:01,423650106,-711371447,57.79,165.0
2025-03-30 13:18:02,423650022,-711371635,57.82,170.92
2025-03-30 13:18:03,423649933,-711371821,57.8,176.89
2025-03-30 13:18:04,423649843,-711372005,57.75,182.84
2025-03-30 13:18:05,423649758,-711372193,57.78,188.78
2025-03-30 13:18:06,423649666,-711372375,57.71,194.72
2025-03-30 13:18:07,423649573,-711372557,57.64,200.68
2025-03-30 13:18:08,423649485,-711372742,57.63,206.61
2025-03-30 13:18:09,423649390,-711372926,57.56,212.65
2025-03-30 13:18:10,423649294,-711373115,57.5,218.83
2025-03-30 13:18:11,423649198,-711373304,57.44,225.01
2025-03-30 13:18:12,423649102,-711373491,57.38,231.14
2025-03-30 13:18:13,423649007,-711373674,57.32,237.17
2025-03-30 13:18:14,423648916,-711373858,57.29,243.13
2025-03-30 13:18:15,423648825,-711374041,57.26,249.08
2025-03-30 13:18:16,423648742,-711374229,57.31,254.98
2025-03-30 13:18:17,423648651,-711374405,57.26,260.76
2025-03-30 13:18:18,423648569,-711374571,57.24,266.14
2025-03-30 13:18:19,423648476,-711374717,57.08,271.29
2025-03-30 13:18:20,423648368,-711374834,56.75,276.08
2025-03-30 13:18:21,423648237,-711374911,56.17,280.45
2025-03-30 13:18:22,423648100,-711374943,55.43,283.98
2025-03-30 13:18:23,423647957,-711374921,54.5,286.49
2025-03-30 13:18:24,423647824,-711374865,53.54,288.12
2025-03-30 13:18:25,423647690,-711374774,52.47,289.1
2025-03-30 13:18:26,423647567,-711374660,51.4,289.45
2025-03-30 13:18:27,423647438,-711374539,50.27,289.89
2025-03-30 13:18:28,423647314,-711374420,49.18,290.37
2025-03-30 13:18:29,423647186,-711374300,48.07,291.03
2025-03-30 13:18:30,423647058,-711374183,46.97,291.85
2025-03-30 13:18:31,423646928,-711374059,45.85,292.7
2025-03-30 13:18:32,423646803,-711373931,44.74,293.46
2025-03-30 13:18:33,423646677,-711373808,43.65,294.44
2025-03-30 13:18:34,423646553,-711373689,42.59,295.55
2025-03-30 13:18:35,423646429,-711373569,41.54,296.74
2025-03-30 13:18:36,423646305,-711373447,40.49,298.0
2025-03-30 13:18:37,423646182,-711373325,39.46,299.32
2025-03-30 13:18:38,423646058,-711373204,38.43,300.79
2025-03-30 13:18:39,423645926,-711373077,37.35,302.49
2025-03-30 13:18:40,423645794,-711372956,36.32,304.39
2025-03-30 13:18:41,423645661,-711372833,35.28,306.39
2025-03-30 13:18:42,423645530,-711372716,34.29,308.51
2025-03-30 13:18:43,423645405,-711372597,33.33,310.52
2025-03-30 13:18:44,423645281,-711372480,32.39,312.61
2025-03-30 13:18:45,423645159,-711372366,31.48,314.76
2025-03-30 13:18:46,423645046,-711372241,30.57,316.55
2025-03-30 13:18:47,423644953,-711372096,29.65,317.53
2025-03-30 13:18:48,423644881,-711371921,28.68,317.52
2025-03-30 13:18:49,423644832,-711371733,27.72,316.7
2025-03-30 13:18:50,423644813,-711371523,26.75,314.73
2025-03-30 13:18:51,423644821,-711371326,25.9,312.11
2025-03-30 13:18:52,423644849,-711371143,25.16,309.06
2025-03-30 13:18:53,423644893,-711370969,24.49,305.64
2025-03-30 13:18:54,423644949,-711370803,23.88,301.94
2025-03-30 13:18:55,423645016,-711370635,23.28,297.89
2025-03-30 13:18:56,423645096,-711370464,22.67,293.4
2025-03-30 13:18:57,423645176,-711370295,22.06,288.97
2025-03-30 13:18:58,423645252,-711370130,21.44,284.75
2025-03-30 13:18:59,423645322,-711369969,20.81,280.8
2025-03-30 13:19:00,423645394,-711369809,20.17,276.83
2025-03-30 13:19:01,423645466,-711369652,19.52,272.92
2025-03-30 13:19:02,423645544,-711369489,18.84,268.79
2025-03-30 13:19:03,423645622,-711369321,18.12,264.66
2025-03-30 13:19:04,423645701,-711369148,17.34,260.49
2025-03-30 13:19:05,423645784,-711368969,16.51,256.19
2025-03-30 13:19:06,423645868,-711368791,15.66,251.92
2025-03-30 13:19:07,423645951,-711368615,14.79,247.75
2025-03-30 13:19:08,423646030,-711368443,13.91,243.81
2025-03-30 13:19:09,423646109,-711368271,13.0,239.93
2025-03-30 13:19:10,423646184,-711368101,12.07,236.26
2025-03-30 13:19:11,423646262,-711367937,11.15,232.58
2025-03-30 13:19:12,423646340,-711367772,10.2,228.96
2025-03-30 13:19:13,423646421,-711367606,9.21,225.3
2025-03-30 13:19:14,423646497,-711367444,8.21,221.89
2025-03-30 13:19:15,423646572,-711367282,7.18,218.6
2025-03-30 13:19:16,423646650,-711367112,6.07,215.24
2025-03-30 13:19:17,423646729,-711366939,4.9,211.93
2025-03-30 13:19:18,423646807,-711366762,3.66,208.73
2025-03-30 13:19:19,423646884,-711366587,2.4,205.68
2025-03-30 13:19:20,423646961,-711366417,1.14,202.73
2025-03-30 13:19:21,423647040,-711366245,359.82,199.81
2025-03-30 13:19:22,423647118,-711366078,358.51,197.03
2025-03-30 13:19:23,423647189,-711365922,357.25,194.6
2025-03-30 13:19:24,423647254,-711365779,356.07,192.45
2025-03-30 13:19:25,423647314,-711365645,354.94,190.55
2025-03-30 13:19:26,423647369,-711365521,353.88,188.88
2025-03-30 13:19:27,423647423,-711365400,352.82,187.3
2025-03-30 13:19:28,423647480,-711365266,351.64,185.73
2025-03-30 13:19:29,423647543,-711365123,350.35,184.06
2025-03-30 13:19:30,423647608,-711364966,348.91,182.49
2025-03-30 13:19:31,423647672,-711364806,347.43,181.09
2025-03-30 13:19:32,423647740,-711364643,345.89,179.69
2025-03-30 13:19:33,423647807,-711364475,344.29,178.49
2025-03-30 13:19:34,423647879,-711364302,342.61,177.3
2025-03-30 13:19:35,423647953,-711364120,340.83,176.28
2025-03-30 13:19:36,423648030,-711363938,339.01,175.33
2025-03-30 13:19:37,423648116,-711363756,337.13,174.25
2025-03-30 13:19:38,423648208,-711363570,335.17,173.2
2025-03-30 13:19:39,423648301,-711363392,333.25,172.24
2025-03-30 13:19:40,423648387,-711363224,331.43,171.56
2025-03-30 13:19:41,423648478,-711363054,329.55,170.93
2025-03-30 13:19:42,423648569,-711362885,327.66,170.47
2025-03-30 13:19:43,423648657,-711362718,325.8,170.25
2025-03-30 13:19:44,423648751,-711362547,323.87,170.1
2025-03-30 13:19:45,423648849,-711362374,321.89,170.07
2025-03-30 13:19:46,423648950,-711362199,319.87,170.19
2025-03-30 13:19:47,423649054,-711362016,317.79,170.58
2025-03-30 13:19:48,423649160,-711361824,315.63,171.31
2025-03-30 13:19:49,423649266,-711361632,313.5,172.28
2025-03-30 13:19:50,423649374,-711361442,311.39,173.4
2025-03-30 13:19:51,423649481,-711361257,309.35,174.67
2025-03-30 13:19:52,423649587,-711361075,307.37,176.12
2025-03-30 13:19:53,423649689,-711360899,305.48,177.73
2025-03-30 13:19:54,423649787,-711360725,303.69,179.56
2025-03-30 13:19:55,423649885,-711360550,301.92,181.59
2025-03-30 13:19:56,423649986,-711360370,300.15,183.85
2025-03-30 13:19:57,423650090,-711360183,298.36,186.39
2025-03-30 13:19:58,423650195,-711359991,296.6,189.22
2025-03-30 13:19:59,423650295,-711359797,294.93,192.34
2025-03-30 13:20:00,423650396,-711359602,293.3,195.63
2025-03-30 13:20:01,423650496,-711359402,291.72,199.22
