Timestamp,Lat,Lon,Angle,Distance
2025-03-30 13:17:16,423652338,-711365948,307.13,10.82
2025-03-30 13:17:16,423652336,-711365942,306.92,10.99
2025-03-30 13:17:17,423652336,-711365936,306.42,11.12
2025-03-30 13:17:18,423652336,-711365930,305.93,11.25
2025-03-30 13:17:19,423652338,-711365923,305.08,11.36
2025-03-30 13:17:20,423652338,-711365916,304.54,11.52
2025-03-30 13:17:21,423652338,-711365910,304.09,11.65
2025-03-30 13:17:22,423652339,-711365909,303.86,11.65
2025-03-30 13:17:23,423652343,-711365906,303.05,11.64
2025-03-30 13:17:24,423652346,-711365921,303.7,11.24
2025-03-30 13:17:25,423652346,-711365950,306.05,10.6
2025-03-30 13:17:26,423652341,-711365991,310.69,9.85
2025-03-30 13:17:27,423652329,-711366042,318.39,9.17
2025-03-30 13:17:28,423652319,-711366113,329.95,8.34
2025-03-30 13:17:29,423652305,-711366197,346.1,7.97
2025-03-30 13:17:30,423652293,-711366302,6.4,8.22
2025-03-30 13:17:31,423652284,-711366409,24.09,9.31
2025-03-30 13:17:32,423652271,-711366565,41.73,12.03
2025-03-30 13:17:33,423652262,-711366745,54.11,15.87
2025-03-30 13:17:34,423652251,-711366931,61.5,20.34
2025-03-30 13:17:35,423652231,-711367123,65.64,25.3
2025-03-30 13:17:36,423652205,-711367315,68.04,30.43
2025-03-30 13:17:37,423652168,-711367503,69.07,35.64
2025-03-30 13:17:38,423652125,-711367690,69.54,40.91
2025-03-30 13:17:39,423652074,-711367886,69.67,46.51
2025-03-30 13:17:40,423652016,-711368072,69.4,51.95
2025-03-30 13:17:41,423651952,-711368254,68.94,57.36
2025-03-30 13:17:42,423651883,-711368436,68.41,62.85
2025-03-30 13:17:43,423651803,-711368616,67.63,68.44
2025-03-30 13:17:44,423651714,-711368794,66.72,74.12
2025-03-30 13:17:45,423651621,-711368968,65.81,79.78
2025-03-30 13:17:46,423651536,-711369124,65.07,84.89
2025-03-30 13:17:47,423651451,-711369278,64.39,89.97
2025-03-30 13:17:48,423651367,-711369432,63.81,95.05
2025-03-30 13:17:49,423651285,-711369587,63.33,100.12
2025-03-30 13:17:50,423651203,-711369745,62.91,105.27
2025-03-30 13:17:51,423651121,-711369890,62.45,110.11
2025-03-30 13:17:52,423651046,-711370032,62.12,114.78
2025-03-30 13:17:53,423650983,-711370159,61.92,118.88
2025-03-30 13:17:54,423650918,-711370296,61.75,123.25
2025-03-30 13:17:55,423650852,-711370437,61.61,127.74
2025-03-30 13:17:56,423650786,-711370578,61.47,132.23
2025-03-30 13:17:57,423650710,-711370735,61.3,137.27
2025-03-30 13:17:58,423650629,-711370906,61.15,142.73
2025-03-30 13:17:59,423650545,-711371077,60.97,148.25
2025-03-30 13:18:00,423650458,-711371259,60.82,154.08
