Timestamp,Lat,Lon,Angle,Distance
2025-03-30 13:10:06,423652006,-711365782,324.9,22.78
2025-03-30 13:10:06,423652011,-711365784,324.75,22.6
2025-03-30 13:10:06,423652014,-711365787,324.76,22.47
2025-03-30 13:10:07,423652015,-711365789,324.82,22.41
2025-03-30 13:10:08,423652016,-711365789,324.76,22.38
2025-03-30 13:10:09,423652015,-711365787,324.7,22.44
2025-03-30 13:10:10,423652013,-711365786,324.75,22.51
2025-03-30 13:10:11,423652013,-711365785,324.7,22.53
2025-03-30 13:10:12,423652014,-711365787,324.76,22.47
2025-03-30 13:10:13,423652016,-711365788,324.71,22.39
2025-03-30 13:10:14,423652019,-711365791,324.71,22.26
2025-03-30 13:10:15,423652022,-711365793,324.66,22.14
2025-03-30 13:10:16,423652025,-711365798,324.78,21.97
2025-03-30 13:10:17,423652027,-711365809,325.31,21.74
2025-03-30 13:10:18,423652020,-711365826,326.69,21.7
2025-03-30 13:10:19,423652009,-711365849,328.64,21.7
2025-03-30 13:10:20,423651992,-711365877,331.18,21.86
2025-03-30 13:10:21,423651973,-711365918,334.57,21.97
2025-03-30 13:10:22,423651946,-711365970,338.91,22.33
2025-03-30 13:10:23,423651911,-711366031,343.88,23.01
2025-03-30 13:10:24,423651871,-711366103,349.31,23.98
2025-03-30 13:10:25,423651827,-711366179,354.56,25.29
2025-03-30 13:10:26,423651782,-711366254,359.19,26.82
2025-03-30 13:10:27,423651741,-711366323,3.0,28.35
2025-03-30 13:10:28,423651723,-711366352,4.47,29.05
2025-03-30 13:10:29,423651720,-711366358,4.77,29.18
2025-03-30 13:10:30,423651718,-711366359,4.81,29.25
2025-03-30 13:10:31,423651722,-711366347,4.2,29.08
2025-03-30 13:10:32,423651732,-711366323,2.96,28.68
2025-03-30 13:10:33,423651746,-711366294,1.43,28.14
2025-03-30 13:10:34,423651763,-711366257,359.38,27.51
2025-03-30 13:10:35,423651784,-711366210,356.65,26.79
2025-03-30 13:10:36,423651804,-711366171,354.26,26.14
2025-03-30 13:10:37,423651826,-711366126,351.37,25.5
2025-03-30 13:10:38,423651857,-711366064,347.14,24.7
2025-03-30 13:10:39,423651899,-711366003,342.42,23.65
2025-03-30 13:10:40,423651926,-711365946,338.07,23.24
2025-03-30 13:10:41,423651944,-711365907,335.04,23.06
2025-03-30 13:10:42,423651958,-711365879,332.79,22.93
2025-03-30 13:10:43,423651972,-711365852,330.58,22.83
2025-03-30 13:10:44,423651982,-711365830,328.83,22.81
2025-03-30 13:10:45,423651988,-711365816,327.74,22.82
2025-03-30 13:10:46,423651989,-711365814,327.57,22.82
2025-03-30 13:10:47,423651985,-711365815,327.82,22.93
2025-03-30 13:10:48,423651978,-711365822,328.56,23.05
2025-03-30 13:10:49,423651967,-711365832,329.64,23.25
2025-03-30 13:10:50,423651952,-711365850,331.34,23.49
2025-03-30 13:10:51,423651937,-711365877,333.52,23.64
2025-03-30 13:10:52,423651915,-711365911,336.34,23.98
2025-03-30 13:10:53,423651889,-711365958,339.96,24.39
2025-03-30 13:10:54,423651855,-711366016,344.29,25.09
2025-03-30 13:10:55,423651819,-711366084,348.98,25.94
2025-03-30 13:10:56,423651776,-711366158,353.74,27.19
2025-03-30 13:10:57,423651732,-711366234,358.17,28.65
2025-03-30 13:10:58,423651698,-711366294,1.34,29.89
2025-03-30 13:10:59,423651670,-711366345,3.84,30.97
2025-03-30 13:11:00,423651651,-711366375,5.22,31.72
2025-03-30 13:11:01,423651647,-711366384,5.63,31.89
2025-03-30 13:11:02,423651646,-711366384,5.62,31.93
2025-03-30 13:11:03,423651644,-711366384,5.61,32.0
2025-03-30 13:11:04,423651651,-711366368,4.88,31.71
2025-03-30 13:11:05,423651665,-711366341,3.62,31.14
2025-03-30 13:11:06,423651680,-711366311,2.17,30.56
2025-03-30 13:11:07,423651696,-711366281,0.67,29.95
2025-03-30 13:11:08,423651717,-711366246,358.84,29.19
2025-03-30 13:11:09,423651736,-711366210,356.86,28.53
2025-03-30 13:11:10,423651754,-711366170,354.58,27.96
2025-03-30 13:11:11,423651771,-711366133,352.38,27.46
2025-03-30 13:11:12,423651788,-711366097,350.17,26.99
2025-03-30 13:11:13,423651808,-711366053,347.37,26.51
2025-03-30 13:11:14,423651829,-711366009,344.46,26.05
2025-03-30 13:11:15,423651855,-711365962,341.14,25.52
2025-03-30 13:11:16,423651879,-711365923,338.22,25.06
2025-03-30 13:11:17,423651897,-711365891,335.81,24.8
2025-03-30 13:11:18,423651912,-711365860,333.51,24.66
2025-03-30 13:11:19,423651924,-711365830,331.38,24.65
2025-03-30 13:11:20,423651931,-711365823,330.7,24.51
2025-03-30 13:11:21,423651932,-711365824,330.72,24.47
2025-03-30 13:11:22,423651931,-711365831,331.15,24.41
2025-03-30 13:11:23,423651920,-711365846,332.42,24.57
2025-03-30 13:11:24,423651912,-711365863,333.68,24.62
2025-03-30 13:11:25,423651900,-711365881,335.14,24.81
2025-03-30 13:11:26,423651889,-711365906,336.93,24.9
2025-03-30 13:11:27,423651872,-711365938,339.29,25.16
2025-03-30 13:11:28,423651846,-711365980,342.4,25.68
2025-03-30 13:11:29,423651819,-711366029,345.8,26.27
2025-03-30 13:11:30,423651789,-711366084,349.42,27.02
2025-03-30 13:11:31,423651759,-711366142,353.0,27.86
2025-03-30 13:11:32,423651731,-711366194,356.02,28.74
2025-03-30 13:11:33,423651703,-711366241,358.6,29.7
2025-03-30 13:11:34,423651681,-711366280,0.61,30.5
2025-03-30 13:11:35,423651659,-711366316,2.37,31.33
2025-03-30 13:11:36,423651639,-711366348,3.85,32.1
2025-03-30 13:11:37,423651622,-711366370,4.81,32.77
2025-03-30 13:11:38,423651615,-711366377,5.1,33.04
2025-03-30 13:11:39,423651614,-711366379,5.19,33.08
2025-03-30 13:11:40,423651619,-711366368,4.7,32.87
2025-03-30 13:11:41,423651630,-711366349,3.86,32.43
2025-03-30 13:11:42,423651641,-711366322,2.61,31.99
2025-03-30 13:11:43,423651657,-711366290,1.08,31.38
2025-03-30 13:11:44,423651670,-711366260,359.6,30.9
2025-03-30 13:11:45,423651692,-711366222,357.64,30.12
2025-03-30 13:11:46,423651711,-711366186,355.7,29.49
2025-03-30 13:11:47,423651734,-711366145,353.38,28.76
2025-03-30 13:11:48,423651758,-711366093,350.33,28.09
2025-03-30 13:11:49,423651779,-711366048,347.58,27.57
