Timestamp,Lat,Lon,Angle,Distance
2025-03-30 13:10:07,423652235,-711365921,317.72,13.9
2025-03-30 13:10:07,423652237,-711365923,317.69,13.81
2025-03-30 13:10:08,423652240,-711365926,317.63,13.68
2025-03-30 13:10:09,423652243,-711365928,317.48,13.56
2025-03-30 13:10:10,423652246,-711365932,317.51,13.41
2025-03-30 13:10:11,423652250,-711365934,317.25,13.26
2025-03-30 13:10:12,423652253,-711365935,317.02,13.17
2025-03-30 13:10:13,423652256,-711365935,316.69,13.09
2025-03-30 13:10:14,423652258,-711365934,316.38,13.05
2025-03-30 13:10:15,423652258,-711365933,316.3,13.07
2025-03-30 13:10:16,423652258,-711365935,316.47,13.03
2025-03-30 13:10:17,423652259,-711365941,316.88,12.89
2025-03-30 13:10:18,423652255,-711365950,318.11,12.84
2025-03-30 13:10:19,423652245,-711365970,321.01,12.77
2025-03-30 13:10:20,423652233,-711365998,324.91,12.66
2025-03-30 13:10:21,423652217,-711366034,330.04,12.63
2025-03-30 13:10:22,423652196,-711366080,336.6,12.76
2025-03-30 13:10:23,423652169,-711366136,344.34,13.18
2025-03-30 13:10:24,423652135,-711366205,353.05,14.04
2025-03-30 13:10:25,423652096,-711366278,1.01,15.36
2025-03-30 13:10:26,423652055,-711366352,7.65,17.01
2025-03-30 13:10:27,423652014,-711366422,12.75,18.81
2025-03-30 13:10:28,423651981,-711366453,14.31,20.18
2025-03-30 13:10:29,423651969,-711366461,14.59,20.66
2025-03-30 13:10:30,423651969,-711366461,14.59,20.66
2025-03-30 13:10:31,423651971,-711366445,13.47,20.48
2025-03-30 13:10:32,423651979,-711366416,11.49,20.03
2025-03-30 13:10:33,423651993,-711366381,9.05,19.36
2025-03-30 13:10:34,423652010,-711366341,6.07,18.6
2025-03-30 13:10:35,423652030,-711366289,1.82,17.78
2025-03-30 13:10:36,423652055,-711366249,358.26,16.86
2025-03-30 13:10:37,423652078,-711366199,353.38,16.12
2025-03-30 13:10:38,423652103,-711366134,346.55,15.53
2025-03-30 13:10:39,423652134,-711366065,338.61,15.01
2025-03-30 13:10:40,423652172,-711366014,331.45,14.33
2025-03-30 13:10:41,423652205,-711365972,324.97,13.9
2025-03-30 13:10:42,423652226,-711365940,320.21,13.82
2025-03-30 13:10:43,423652241,-711365911,316.3,13.93
2025-03-30 13:10:44,423652256,-711365885,312.69,14.04
2025-03-30 13:10:45,423652270,-711365870,310.03,14.01
2025-03-30 13:10:46,423652279,-711365863,308.5,13.95
2025-03-30 13:10:47,423652281,-711365859,307.99,13.99
2025-03-30 13:10:48,423652281,-711365859,307.99,13.99
2025-03-30 13:10:49,423652279,-711365866,308.7,13.89
2025-03-30 13:10:50,423652273,-711365890,311.14,13.53
2025-03-30 13:10:51,423652266,-711365915,313.9,13.21
2025-03-30 13:10:52,423652254,-711365947,317.96,12.92
2025-03-30 13:10:53,423652237,-711365994,324.13,12.61
2025-03-30 13:10:54,423652216,-711366054,332.29,12.4
2025-03-30 13:10:55,423652187,-711366124,342.13,12.65
2025-03-30 13:10:56,423652150,-711366203,352.54,13.5
2025-03-30 13:10:57,423652111,-711366278,1.04,14.81
2025-03-30 13:10:58,423652071,-711366342,6.99,16.39
2025-03-30 13:11:00,423652037,-711366419,13.09,17.98
2025-03-30 13:11:01,423651991,-711366426,12.51,19.66
2025-03-30 13:11:02,423651987,-711366424,12.27,19.79
2025-03-30 13:11:03,423651987,-711366421,12.04,19.77
2025-03-30 13:11:04,423651987,-711366405,10.81,19.68
2025-03-30 13:11:05,423651994,-711366374,8.52,19.29
2025-03-30 13:11:06,423652011,-711366344,6.33,18.57
2025-03-30 13:11:07,423652029,-711366313,3.9,17.84
2025-03-30 13:11:08,423652045,-711366274,0.54,17.22
2025-03-30 13:11:09,423652066,-711366236,357.0,16.48
2025-03-30 13:11:10,423652087,-711366198,353.14,15.8
2025-03-30 13:11:11,423652111,-711366162,349.08,15.08
2025-03-30 13:11:12,423652132,-711366125,344.65,14.56
2025-03-30 13:11:13,423652153,-711366083,339.42,14.18
2025-03-30 13:11:14,423652178,-711366041,333.68,13.8
2025-03-30 13:11:15,423652202,-711365995,327.37,13.65
2025-03-30 13:11:16,423652225,-711365956,321.71,13.57
2025-03-30 13:11:17,423652246,-711365923,316.75,13.57
2025-03-30 13:11:18,423652264,-711365895,312.55,13.65
2025-03-30 13:11:19,423652281,-711365869,308.68,13.78
2025-03-30 13:11:20,423652297,-711365859,306.05,13.64
2025-03-30 13:11:21,423652302,-711365861,305.56,13.49
2025-03-30 13:11:22,423652305,-711365867,305.58,13.29
2025-03-30 13:11:23,423652303,-711365879,306.67,13.07
2025-03-30 13:11:24,423652298,-711365899,308.77,12.76
2025-03-30 13:11:25,423652292,-711365919,311.11,12.48
2025-03-30 13:11:26,423652283,-711365938,313.82,12.33
2025-03-30 13:11:27,423652270,-711365970,318.29,12.07
2025-03-30 13:11:28,423652252,-711366014,324.69,11.85
2025-03-30 13:11:29,423652226,-711366064,332.62,11.96
2025-03-30 13:11:30,423652198,-711366123,341.44,12.28
2025-03-30 13:11:31,423652167,-711366178,349.24,13.0
2025-03-30 13:11:32,423652134,-711366230,355.81,14.01
2025-03-30 13:11:33,423652104,-711366276,0.82,15.07
2025-03-30 13:11:34,423652073,-711366316,4.57,16.25
2025-03-30 13:11:35,423652051,-711366354,7.76,17.16
2025-03-30 13:11:36,423652031,-711366387,10.25,18.02
2025-03-30 13:11:37,423652011,-711366411,11.79,18.86
2025-03-30 13:11:38,423651999,-711366418,12.08,19.32
2025-03-30 13:11:39,423651995,-711366419,12.06,19.47
2025-03-30 13:11:40,423651997,-711366413,11.64,19.37
2025-03-30 13:11:41,423652004,-711366397,10.53,19.04
2025-03-30 13:11:42,423652017,-711366372,8.74,18.45
2025-03-30 13:11:43,423652034,-711366342,6.46,17.73
2025-03-30 13:11:44,423652053,-711366311,3.92,16.97
2025-03-30 13:11:45,423652070,-711366269,0.09,16.31
2025-03-30 13:11:46,423652092,-711366232,356.42,15.53
2025-03-30 13:11:47,423652111,-711366198,352.74,14.93
2025-03-30 13:11:48,423652137,-711366149,346.97,14.23
2025-03-30 13:11:49,423652164,-711366107,341.38,13.59
2025-03-30 13:11:50,423652188,-711366069,335.92,13.15
2025-03-30 13:11:51,423652208,-711366035,330.88,12.9
2025-03-30 13:11:52,423652233,-711365991,324.22,12.77
2025-03-30 13:11:53,423652256,-711365943,317.38,12.94
2025-03-30 13:11:54,423652280,-711365905,311.47,13.06
