Timestamp,Lat,Lon,Angle,Distance
2025-03-30 12:49:00,423652170,-711366113,341.74,13.33
2025-03-30 12:49:00,423652189,-711366098,339.05,12.81
2025-03-30 12:49:01,423652205,-711366085,336.57,12.41
2025-03-30 12:49:02,423652218,-711366071,334.04,12.13
2025-03-30 12:49:03,423652230,-711366059,331.72,11.89
2025-03-30 12:49:04,423652243,-711366047,329.21,11.64
2025-03-30 12:49:05,423652254,-711366036,326.9,11.45
2025-03-30 12:49:06,423652261,-711366026,325.07,11.39
2025-03-30 12:49:07,423652265,-711366018,323.76,11.4
2025-03-30 12:49:08,423652271,-711366009,322.12,11.37
2025-03-30 12:49:09,423652274,-711366000,320.82,11.44
2025-03-30 12:49:10,423652275,-711365991,319.78,11.56
2025-03-30 12:49:11,423652276,-711365984,318.95,11.66
2025-03-30 12:49:12,423652275,-711365978,318.48,11.79
2025-03-30 12:49:13,423652270,-711365974,318.67,12.0
2025-03-30 12:49:14,423652268,-711365971,318.61,12.11
2025-03-30 12:49:15,423652265,-711365971,318.95,12.19
2025-03-30 12:49:16,423652261,-711365970,319.3,12.32
2025-03-30 12:49:17,423652258,-711365971,319.73,12.38
2025-03-30 12:49:18,423652255,-711365972,320.15,12.45
2025-03-30 12:49:19,423652252,-711365972,320.47,12.53
2025-03-30 12:49:20,423652249,-711365974,320.97,12.59
2025-03-30 12:49:21,423652245,-711365974,321.39,12.7
2025-03-30 12:49:22,423652245,-711365975,321.48,12.68
2025-03-30 12:49:23,423652244,-711365977,321.78,12.68
2025-03-30 12:49:24,423652244,-711365979,321.97,12.64
2025-03-30 12:49:25,423652244,-711365982,322.26,12.59
2025-03-30 12:49:26,423652247,-711365986,322.34,12.44
2025-03-30 12:49:27,423652250,-711365991,322.53,12.27
2025-03-30 12:49:28,423652252,-711365996,322.82,12.13
2025-03-30 12:49:29,423652255,-711366000,322.92,11.98
2025-03-30 12:49:30,423652258,-711366004,323.02,11.83
2025-03-30 12:49:31,423652260,-711366006,323.01,11.74
2025-03-30 12:49:32,423652260,-711366007,323.12,11.72
2025-03-30 12:49:33,423652259,-711366008,323.33,11.73
2025-03-30 12:49:34,423652256,-711366008,323.65,11.82
2025-03-30 12:49:35,423652253,-711366010,324.17,11.88
2025-03-30 12:49:36,423652250,-711366012,324.69,11.94
2025-03-30 12:49:37,423652248,-711366014,325.1,11.97
2025-03-30 12:49:38,423652246,-711366015,325.4,12.01
2025-03-30 12:49:39,423652245,-711366016,325.61,12.03
2025-03-30 12:49:40,423652244,-711366017,325.81,12.04
2025-03-30 12:49:41,423652242,-711366017,326.01,12.1
2025-03-30 12:49:42,423652240,-711366017,326.2,12.16
2025-03-30 12:49:43,423652239,-711366017,326.29,12.19
2025-03-30 12:49:44,423652237,-711366018,326.59,12.24
2025-03-30 12:49:45,423652236,-711366019,326.79,12.25
2025-03-30 12:49:46,423652234,-711366020,327.08,12.3
2025-03-30 12:49:47,423652232,-711366020,327.26,12.36
2025-03-30 12:49:48,423652232,-711366021,327.37,12.35
2025-03-30 12:49:49,423652231,-711366021,327.46,12.38
2025-03-30 12:49:50,423652230,-711366022,327.65,12.39
2025-03-30 12:49:51,423652228,-711366023,327.94,12.44
2025-03-30 12:49:52,423652228,-711366024,328.04,12.43
2025-03-30 12:49:53,423652229,-711366024,327.95,12.4
2025-03-30 12:49:54,423652228,-711366024,328.04,12.43
2025-03-30 12:49:55,423652227,-711366026,328.34,12.43
2025-03-30 12:49:56,423652226,-711366029,328.75,12.42
2025-03-30 12:49:57,423652224,-711366030,329.03,12.47
2025-03-30 12:49:58,423652224,-711366032,329.24,12.44
2025-03-30 12:49:59,423652222,-711366034,329.63,12.47
2025-03-30 12:50:00,423652221,-711366034,329.71,12.51
2025-03-30 12:50:01,423652219,-711366035,329.98,12.56
2025-03-30 12:50:02,423652219,-711366036,330.09,12.54
2025-03-30 12:50:03,423652218,-711366037,330.28,12.56
2025-03-30 12:50:04,423652217,-711366038,330.47,12.58
2025-03-30 12:50:05,423652216,-711366039,330.66,12.6
2025-03-30 12:50:06,423652215,-711366040,330.85,12.62
2025-03-30 12:50:07,423652215,-711366043,331.17,12.58
2025-03-30 12:50:08,423652214,-711366045,331.46,12.58
2025-03-30 12:50:09,423652212,-711366047,331.84,12.62
2025-03-30 12:50:10,423652211,-711366050,332.24,12.62
2025-03-30 12:50:11,423652210,-711366052,332.53,12.62
2025-03-30 12:50:12,423652209,-711366052,332.61,12.66
