Timestamp,Lat,Lon,Angle,Distance
2025-03-30 12:48:58,423652165,-711365944,325.78,15.53
2025-03-30 12:48:58,423652156,-711365939,326.04,15.88
2025-03-30 12:48:59,423652150,-711365932,325.92,16.16
2025-03-30 12:49:00,423652144,-711365927,325.96,16.42
2025-03-30 12:49:01,423652138,-711365922,326.0,16.68
2025-03-30 12:49:02,423652132,-711365916,325.96,16.95
2025-03-30 12:49:03,423652128,-711365910,325.78,17.16
2025-03-30 12:49:04,423652123,-711365904,325.68,17.4
2025-03-30 12:49:05,423652121,-711365897,325.31,17.57
2025-03-30 12:49:06,423652121,-711365891,324.88,17.66
2025-03-30 12:49:07,423652121,-711365886,324.52,17.74
2025-03-30 12:49:08,423652121,-711365880,324.1,17.83
2025-03-30 12:49:09,423652120,-711365874,323.75,17.96
2025-03-30 12:49:10,423652120,-711365868,323.33,18.06
2025-03-30 12:49:11,423652119,-711365864,323.13,18.15
2025-03-30 12:49:12,423652119,-711365859,322.79,18.23
2025-03-30 12:49:13,423652119,-711365855,322.52,18.3
2025-03-30 12:49:14,423652119,-711365851,322.26,18.36
2025-03-30 12:49:15,423652119,-711365849,322.12,18.39
2025-03-30 12:49:16,423652119,-711365847,321.99,18.43
2025-03-30 12:49:17,423652120,-711365846,321.85,18.42
2025-03-30 12:49:18,423652120,-711365844,321.72,18.45
2025-03-30 12:49:19,423652121,-711365843,321.59,18.44
2025-03-30 12:49:20,423652122,-711365841,321.38,18.44
2025-03-30 12:49:21,423652124,-711365839,321.11,18.42
2025-03-30 12:49:22,423652126,-711365839,320.97,18.36
2025-03-30 12:49:23,423652128,-711365839,320.83,18.31
2025-03-30 12:49:24,423652130,-711365839,320.68,18.25
2025-03-30 12:49:25,423652132,-711365839,320.54,18.19
2025-03-30 12:49:26,423652134,-711365838,320.32,18.15
2025-03-30 12:49:27,423652135,-711365837,320.18,18.14
2025-03-30 12:49:28,423652137,-711365836,319.97,18.1
2025-03-30 12:49:29,423652139,-711365835,319.76,18.07
2025-03-30 12:49:30,423652143,-711365834,319.39,17.97
2025-03-30 12:49:31,423652145,-711365833,319.17,17.93
